"2022/04/28","14:39:58",515.64,595.76
"",,,
0,,0,
1,,0,
2,,0,
3,,0,
4,,0,
5,,0,
6,,0,
7,,0,
8,,0,
9,,0,
10,,0,
11,,0,
12,,0,
13,,0,
14,,0,
15,,0,
16,,0,
17,,0,
18,,0,
19,,0,
20,,0,
21,,0,
22,,0,
23,,0,
24,,0,
25,,0,
26,,0,
27,,0,
28,,0,
29,,0,
30,,0,
31,,0,
32,,0,
33,,0,
34,,0,
35,,0,
36,,0,
37,,0,
38,,0,
39,,0,
40,,0,
41,,0,
42,,0,
43,,0,
44,10,10,
45,1199,1199,
46,1495,1495,
47,1504,1504,
48,1496,1496,
49,1495,1495,
50,1485,1485,
51,1477,1477,
52,1478,1478,
53,1488,1488,
54,1404,1404,
55,1386,1386,
56,1447,1447,
57,1444,1444,
58,1424,1424,
59,1457,1457,
60,1366,1366,
61,1415,1415,
62,1456,1456,
63,1420,1420,
64,1491,1491,
65,1399,1399,
66,1413,1413,
67,1438,1438,
68,1414,1414,
69,1467,1467,
70,1451,1451,
71,1458,1458,
72,1487,1487,
73,1494,1494,
74,1478,1478,
75,1491,1491,
76,1523,1523,
77,1466,1466,
78,1508,1508,
79,1470,1470,
80,1485,1485,
81,1485,1485,
82,1476,1476,
83,1446,1446,
84,1496,1496,
85,1471,1471,
86,1592,1592,
87,1562,1562,
88,1505,1505,
89,1543,1543,
90,1481,1481,
91,1523,1523,
92,1501,1501,
93,1512,1512,
94,1464,1464,
95,1528,1528,
96,1463,1463,
97,1472,1472,
98,1547,1547,
99,1586,1586,
100,1444,1444,
101,1474,1474,
102,1439,1439,
103,1446,1446,
104,1504,1504,
105,1479,1479,
106,1456,1456,
107,1514,1514,
108,1466,1466,
109,1438,1438,
110,1469,1469,
111,1503,1503,
112,1438,1438,
113,1464,1464,
114,1462,1462,
115,1416,1416,
116,1401,1401,
117,1425,1425,
118,1438,1438,
119,1412,1412,
120,1408,1408,
121,1355,1355,
122,1466,1466,
123,1353,1353,
124,1379,1379,
125,1371,1371,
126,1435,1435,
127,1384,1384,
128,1388,1388,
129,1340,1340,
130,1388,1388,
131,1393,1393,
132,1422,1422,
133,1323,1323,
134,1356,1356,
135,1368,1368,
136,1308,1308,
137,1383,1383,
138,1388,1388,
139,1388,1388,
140,1343,1343,
141,1360,1360,
142,1319,1319,
143,1358,1358,
144,1328,1328,
145,1401,1401,
146,1311,1311,
147,1328,1328,
148,1387,1387,
149,1255,1255,
150,1349,1349,
151,1364,1364,
152,1347,1347,
153,1275,1275,
154,1404,1404,
155,1278,1278,
156,1292,1292,
157,1341,1341,
158,1302,1302,
159,1303,1303,
160,1241,1241,
161,1364,1364,
162,1338,1338,
163,1289,1289,
164,1283,1283,
165,1241,1241,
166,1284,1284,
167,1221,1221,
168,1220,1220,
169,1293,1293,
170,1238,1238,
171,1257,1257,
172,1253,1253,
173,1296,1296,
174,1228,1228,
175,1271,1271,
176,1244,1244,
177,1262,1262,
178,1225,1225,
179,1224,1224,
180,1212,1212,
181,1210,1210,
182,1229,1229,
183,1180,1180,
184,1290,1290,
185,1242,1242,
186,1146,1146,
187,1201,1201,
188,1233,1233,
189,1205,1205,
190,1200,1200,
191,1193,1193,
192,1150,1150,
193,1199,1199,
194,1167,1167,
195,1189,1189,
196,1279,1279,
197,1156,1156,
198,1120,1120,
199,1180,1180,
200,1169,1169,
201,1122,1122,
202,1191,1191,
203,1126,1126,
204,1107,1107,
205,1129,1129,
206,1060,1060,
207,1084,1084,
208,1141,1141,
209,1142,1142,
210,1120,1120,
211,1107,1107,
212,1174,1174,
213,1105,1105,
214,1084,1084,
215,1106,1106,
216,1111,1111,
217,1130,1130,
218,1075,1075,
219,1059,1059,
220,1065,1065,
221,1086,1086,
222,1055,1055,
223,1087,1087,
224,1055,1055,
225,1067,1067,
226,1132,1132,
227,1094,1094,
228,1051,1051,
229,1089,1089,
230,1017,1017,
231,1109,1109,
232,1127,1127,
233,1083,1083,
234,1086,1086,
235,1075,1075,
236,1116,1116,
237,1049,1049,
238,1121,1121,
239,1038,1038,
240,1110,1110,
241,1111,1111,
242,1077,1077,
243,1103,1103,
244,1181,1181,
245,1140,1140,
246,1184,1184,
247,1185,1185,
248,1239,1239,
249,1214,1214,
250,1215,1215,
251,1202,1202,
252,1222,1222,
253,1227,1227,
254,1288,1288,
