"2022/04/28","16:03:40",583.08,600
"",,,
0,,0,
1,,0,
2,,0,
3,,0,
4,,0,
5,,0,
6,,0,
7,,0,
8,,0,
9,,0,
10,,0,
11,,0,
12,,0,
13,,0,
14,,0,
15,,0,
16,,0,
17,,0,
18,,0,
19,,0,
20,,0,
21,,0,
22,,0,
23,,0,
24,,0,
25,,0,
26,,0,
27,,0,
28,,0,
29,,0,
30,,0,
31,,0,
32,,0,
33,,0,
34,,0,
35,,0,
36,,0,
37,,0,
38,,0,
39,,0,
40,,0,
41,,0,
42,,0,
43,,0,
44,,0,
45,339,339,
46,423,423,
47,431,431,
48,443,443,
49,417,417,
50,440,440,
51,476,476,
52,457,457,
53,443,443,
54,477,477,
55,450,450,
56,444,444,
57,512,512,
58,482,482,
59,476,476,
60,527,527,
61,495,495,
62,575,575,
63,544,544,
64,551,551,
65,585,585,
66,561,561,
67,599,599,
68,608,608,
69,593,593,
70,609,609,
71,612,612,
72,576,576,
73,662,662,
74,657,657,
75,672,672,
76,611,611,
77,630,630,
78,691,691,
79,631,631,
80,613,613,
81,666,666,
82,636,636,
83,700,700,
84,718,718,
85,705,705,
86,730,730,
87,713,713,
88,745,745,
89,631,631,
90,662,662,
91,690,690,
92,666,666,
93,674,674,
94,686,686,
95,666,666,
96,700,700,
97,716,716,
98,692,692,
99,733,733,
100,670,670,
101,696,696,
102,712,712,
103,705,705,
104,699,699,
105,667,667,
106,669,669,
107,659,659,
108,632,632,
109,643,643,
110,629,629,
111,594,594,
112,631,631,
113,623,623,
114,655,655,
115,624,624,
116,649,649,
117,625,625,
118,636,636,
119,663,663,
120,632,632,
121,641,641,
122,599,599,
123,618,618,
124,603,603,
125,644,644,
126,617,617,
127,568,568,
128,563,563,
129,559,559,
130,615,615,
131,562,562,
132,555,555,
133,602,602,
134,571,571,
135,545,545,
136,592,592,
137,592,592,
138,560,560,
139,590,590,
140,552,552,
141,535,535,
142,529,529,
143,539,539,
144,511,511,
145,531,531,
146,525,525,
147,520,520,
148,522,522,
149,564,564,
150,541,541,
151,528,528,
152,514,514,
153,530,530,
154,478,478,
155,543,543,
156,513,513,
157,504,504,
158,501,501,
159,486,486,
160,501,501,
161,468,468,
162,493,493,
163,462,462,
164,452,452,
165,510,510,
166,477,477,
167,471,471,
168,456,456,
169,474,474,
170,441,441,
171,496,496,
172,471,471,
173,497,497,
174,431,431,
175,433,433,
176,471,471,
177,407,407,
178,428,428,
179,429,429,
180,423,423,
181,421,421,
182,429,429,
183,413,413,
184,451,451,
185,368,368,
186,407,407,
187,410,410,
188,389,389,
189,378,378,
190,413,413,
191,397,397,
192,428,428,
193,392,392,
194,375,375,
195,371,371,
196,391,391,
197,395,395,
198,402,402,
199,401,401,
200,351,351,
201,360,360,
202,359,359,
203,356,356,
204,368,368,
205,368,368,
206,346,346,
207,380,380,
208,339,339,
209,361,361,
210,364,364,
211,356,356,
212,364,364,
213,353,353,
214,319,319,
215,339,339,
216,351,351,
217,353,353,
218,384,384,
219,362,362,
220,323,323,
221,369,369,
222,350,350,
223,296,296,
224,311,311,
225,338,338,
226,326,326,
227,334,334,
228,318,318,
229,378,378,
230,326,326,
231,314,314,
232,334,334,
233,333,333,
234,354,354,
235,320,320,
236,314,314,
237,308,308,
238,326,326,
239,336,336,
240,311,311,
241,313,313,
242,335,335,
243,335,335,
244,346,346,
245,371,371,
246,386,386,
247,363,363,
248,378,378,
249,375,375,
250,353,353,
251,373,373,
252,375,375,
253,366,366,
254,360,360,
255,326,326,
256,347,347,
257,346,346,
258,327,327,
259,329,329,
260,327,327,
261,338,338,
262,313,313,
263,300,300,
264,329,329,
265,285,285,
266,293,293,
267,309,309,
268,309,309,
269,298,298,
270,293,293,
271,283,283,
272,315,315,
273,291,291,
274,281,281,
275,306,306,
276,268,268,
277,344,344,
278,319,319,
279,397,397,
280,392,392,
281,311,311,
282,290,290,
283,288,288,
284,292,292,
285,269,269,
286,255,255,
287,248,248,
288,266,266,
289,252,252,
290,261,261,
291,248,248,
292,248,248,
293,226,226,
294,260,260,
295,293,293,
296,244,244,
297,272,272,
298,259,259,
299,254,254,
300,270,270,
301,219,219,
302,261,261,
303,247,247,
304,246,246,
305,238,238,
306,235,235,
307,258,258,
308,246,246,
309,231,231,
310,238,238,
311,250,250,
312,215,215,
313,245,245,
314,226,226,
315,232,232,
