"2022/04/28","14:52:27",380.24,600
"",,,
0,,0,
1,,0,
2,,0,
3,,0,
4,,0,
5,,0,
6,,0,
7,,0,
8,,0,
9,,0,
10,,0,
11,,0,
12,,0,
13,,0,
14,,0,
15,,0,
16,,0,
17,,0,
18,,0,
19,,0,
20,1,1,
21,,0,
22,,0,
23,2,2,
24,,0,
25,,0,
26,1,1,
27,,0,
28,,0,
29,,0,
30,,0,
31,2,2,
32,2,2,
33,,0,
34,1,1,
35,,0,
36,1,1,
37,3,3,
38,1,1,
39,1,1,
40,,0,
41,,0,
42,,0,
43,1,1,
44,69,69,
45,4530,4530,
46,5723,5723,
47,5548,5548,
48,5479,5479,
49,5523,5523,
50,5452,5452,
51,5549,5549,
52,5498,5498,
53,5265,5265,
54,5424,5424,
55,5305,5305,
56,5366,5366,
57,5220,5220,
58,5333,5333,
59,5356,5356,
60,5442,5442,
61,5223,5223,
62,5410,5410,
63,5237,5237,
64,5235,5235,
65,5254,5254,
66,5233,5233,
67,5368,5368,
68,5384,5384,
69,5334,5334,
70,5329,5329,
71,5346,5346,
72,5387,5387,
73,5346,5346,
74,5391,5391,
75,5436,5436,
76,5268,5268,
77,5442,5442,
78,5295,5295,
79,5355,5355,
80,5301,5301,
81,5246,5246,
82,5346,5346,
83,5215,5215,
84,5327,5327,
85,5160,5160,
86,5169,5169,
87,5292,5292,
88,5360,5360,
89,5270,5270,
90,5210,5210,
91,5276,5276,
92,5328,5328,
93,5139,5139,
94,5141,5141,
95,5192,5192,
96,5337,5337,
97,5148,5148,
98,5183,5183,
99,5263,5263,
100,5167,5167,
101,5300,5300,
102,5216,5216,
103,5183,5183,
104,5053,5053,
105,5085,5085,
106,5152,5152,
107,5184,5184,
108,5194,5194,
109,5129,5129,
110,5204,5204,
111,5110,5110,
112,5079,5079,
113,5133,5133,
114,4990,4990,
115,5144,5144,
116,5018,5018,
117,5030,5030,
118,4999,4999,
119,5176,5176,
120,5108,5108,
121,5269,5269,
122,4985,4985,
123,5167,5167,
124,5086,5086,
125,5034,5034,
126,5103,5103,
127,5268,5268,
128,5130,5130,
129,5265,5265,
130,5308,5308,
131,5136,5136,
132,5176,5176,
133,5184,5184,
134,5221,5221,
135,5106,5106,
136,5142,5142,
137,5224,5224,
138,5192,5192,
139,5181,5181,
140,5315,5315,
141,5008,5008,
142,5126,5126,
143,5299,5299,
144,5238,5238,
145,5018,5018,
146,5229,5229,
147,5169,5169,
148,5157,5157,
149,5131,5131,
150,5115,5115,
151,5168,5168,
152,5176,5176,
153,5121,5121,
154,4945,4945,
155,5079,5079,
156,5207,5207,
157,5097,5097,
158,5037,5037,
159,5143,5143,
160,5062,5062,
161,5192,5192,
162,5194,5194,
163,5219,5219,
164,5100,5100,
165,5017,5017,
166,5178,5178,
167,5121,5121,
168,4947,4947,
169,5114,5114,
170,5048,5048,
171,4923,4923,
172,5038,5038,
173,5073,5073,
174,5183,5183,
175,4930,4930,
176,5013,5013,
177,4984,4984,
178,4995,4995,
179,4885,4885,
180,4975,4975,
181,4966,4966,
182,4911,4911,
183,4943,4943,
184,5028,5028,
185,4973,4973,
186,5067,5067,
187,4965,4965,
188,5109,5109,
189,5022,5022,
190,5261,5261,
191,5152,5152,
192,5176,5176,
193,5109,5109,
194,5241,5241,
195,5328,5328,
196,5361,5361,
197,5523,5523,
198,5542,5542,
199,5646,5646,
200,5723,5723,
201,5885,5885,
202,5828,5828,
203,5763,5763,
204,5831,5831,
205,6086,6086,
206,5897,5897,
207,6055,6055,
208,5975,5975,
209,6018,6018,
210,6185,6185,
211,6032,6032,
212,6092,6092,
213,5982,5982,
214,6088,6088,
215,6150,6150,
216,6164,6164,
217,5998,5998,
218,6156,6156,
219,6224,6224,
220,6029,6029,
221,6132,6132,
222,6075,6075,
223,6129,6129,
224,5982,5982,
225,6034,6034,
226,5966,5966,
227,6190,6190,
228,6051,6051,
229,6267,6267,
230,5992,5992,
231,5912,5912,
232,6009,6009,
233,6027,6027,
234,6056,6056,
235,5935,5935,
236,6059,6059,
237,5900,5900,
238,5818,5818,
239,6009,6009,
240,5778,5778,
241,5916,5916,
242,5825,5825,
243,5874,5874,
244,5765,5765,
245,5961,5961,
246,5758,5758,
247,5666,5666,
248,5875,5875,
249,5690,5690,
250,5911,5911,
251,5978,5978,
252,5822,5822,
253,5896,5896,
