"2022/04/28","14:22:15",229.24,600
"",,,
0,,0,
1,,0,
2,,0,
3,,0,
4,,0,
5,,0,
6,,0,
7,,0,
8,,0,
9,,0,
10,,0,
11,,0,
12,,0,
13,,0,
14,,0,
15,,0,
16,,0,
17,,0,
18,,0,
19,1,1,
20,5,5,
21,7,7,
22,7,7,
23,3,3,
24,5,5,
25,5,5,
26,9,9,
27,3,3,
28,10,10,
29,8,8,
30,14,14,
31,14,14,
32,12,12,
33,28,28,
34,25,25,
35,28,28,
36,18,18,
37,11,11,
38,5,5,
39,5,5,
40,4,4,
41,5,5,
42,4,4,
43,9,9,
44,386,386,
45,10012,10012,
46,10584,10584,
47,10599,10599,
48,10307,10307,
49,9968,9968,
50,10061,10061,
51,9725,9725,
52,9752,9752,
53,9556,9556,
54,9445,9445,
55,9449,9449,
56,9230,9230,
57,9180,9180,
58,9104,9104,
59,8930,8930,
60,9083,9083,
61,8837,8837,
62,8967,8967,
63,9132,9132,
64,8709,8709,
65,8772,8772,
66,8818,8818,
67,8666,8666,
68,8699,8699,
69,8532,8532,
70,8680,8680,
71,8598,8598,
72,8622,8622,
73,8430,8430,
74,8330,8330,
75,8195,8195,
76,8159,8159,
77,8087,8087,
78,8018,8018,
79,7942,7942,
80,7925,7925,
81,8040,8040,
82,7919,7919,
83,7877,7877,
84,7894,7894,
85,7782,7782,
86,7861,7861,
87,7770,7770,
88,7779,7779,
89,7690,7690,
90,7771,7771,
91,7753,7753,
92,7677,7677,
93,7697,7697,
94,7532,7532,
95,7592,7592,
96,7710,7710,
97,7632,7632,
98,7501,7501,
99,7636,7636,
100,7642,7642,
101,7539,7539,
102,7599,7599,
103,7691,7691,
104,7438,7438,
105,7478,7478,
106,7443,7443,
107,7362,7362,
108,7467,7467,
109,7463,7463,
110,7378,7378,
111,7432,7432,
112,7303,7303,
113,7092,7092,
114,7322,7322,
115,7181,7181,
116,7259,7259,
117,7308,7308,
118,7308,7308,
119,7296,7296,
120,7240,7240,
121,7131,7131,
122,7428,7428,
123,7315,7315,
124,7237,7237,
125,7178,7178,
126,7267,7267,
127,7171,7171,
128,7294,7294,
129,7354,7354,
130,7179,7179,
131,7389,7389,
132,7260,7260,
133,7213,7213,
134,7273,7273,
135,7387,7387,
136,7352,7352,
137,7169,7169,
138,7263,7263,
139,7173,7173,
140,7052,7052,
141,7138,7138,
142,7367,7367,
143,7003,7003,
144,7143,7143,
145,7160,7160,
146,7254,7254,
147,7361,7361,
148,7232,7232,
149,7183,7183,
150,7166,7166,
151,7214,7214,
152,7227,7227,
153,7142,7142,
154,7215,7215,
155,7175,7175,
156,7203,7203,
157,7128,7128,
158,7106,7106,
159,7274,7274,
160,7149,7149,
161,7278,7278,
162,7290,7290,
163,7068,7068,
164,7172,7172,
165,7006,7006,
166,7051,7051,
167,7249,7249,
168,7021,7021,
169,7308,7308,
170,7063,7063,
171,7209,7209,
172,7257,7257,
173,7086,7086,
174,7239,7239,
175,7040,7040,
176,7046,7046,
177,6985,6985,
178,7232,7232,
179,6993,6993,
180,6885,6885,
181,7009,7009,
182,7097,7097,
183,6904,6904,
184,6930,6930,
185,6852,6852,
186,6954,6954,
187,6845,6845,
188,6975,6975,
189,7026,7026,
190,6962,6962,
191,7061,7061,
192,7102,7102,
193,7074,7074,
194,6964,6964,
195,6942,6942,
196,6948,6948,
197,7033,7033,
198,6963,6963,
199,6989,6989,
200,7061,7061,
201,6967,6967,
202,6958,6958,
203,7205,7205,
204,7140,7140,
205,7119,7119,
206,7375,7375,
207,7243,7243,
208,7308,7308,
209,7359,7359,
210,7420,7420,
211,7201,7201,
212,7438,7438,
213,7674,7674,
214,7706,7706,
215,8029,8029,
216,7982,7982,
217,8044,8044,
218,8082,8082,
219,8273,8273,
220,8322,8322,
221,8200,8200,
222,8108,8108,
223,8241,8241,
224,8279,8279,
225,8188,8188,
226,8279,8279,
227,8350,8350,
228,8350,8350,
229,8173,8173,
230,8133,8133,
231,8269,8269,
232,8227,8227,
233,8434,8434,
234,8257,8257,
235,8195,8195,
236,8371,8371,
237,8225,8225,
238,8384,8384,
239,8302,8302,
240,8374,8374,
241,8268,8268,
242,8364,8364,
243,8304,8304,
244,8192,8192,
245,8212,8212,
246,8186,8186,
247,8045,8045,
248,8048,8048,
249,8223,8223,
250,8206,8206,
251,7990,7990,
252,8118,8118,
