"2022/04/28","13:49:13",593.6,600
"",,,
0,,0,
1,,0,
2,,0,
3,,0,
4,,0,
5,,0,
6,,0,
7,,0,
8,,0,
9,,0,
10,,0,
11,,0,
12,,0,
13,,0,
14,,0,
15,,0,
16,,0,
17,,0,
18,,0,
19,,0,
20,,0,
21,,0,
22,,0,
23,,0,
24,,0,
25,,0,
26,,0,
27,,0,
28,,0,
29,,0,
30,,0,
31,,0,
32,,0,
33,,0,
34,,0,
35,,0,
36,,0,
37,,0,
38,,0,
39,,0,
40,,0,
41,,0,
42,,0,
43,,0,
44,,0,
45,177,177,
46,228,228,
47,213,213,
48,243,243,
49,216,216,
50,263,263,
51,269,269,
52,277,277,
53,291,291,
54,298,298,
55,296,296,
56,310,310,
57,312,312,
58,337,337,
59,332,332,
60,302,302,
61,338,338,
62,369,369,
63,330,330,
64,344,344,
65,413,413,
66,383,383,
67,383,383,
68,419,419,
69,434,434,
70,434,434,
71,455,455,
72,431,431,
73,432,432,
74,450,450,
75,482,482,
76,511,511,
77,460,460,
78,472,472,
79,501,501,
80,503,503,
81,532,532,
82,547,547,
83,524,524,
84,575,575,
85,545,545,
86,581,581,
87,586,586,
88,491,491,
89,542,542,
90,509,509,
91,507,507,
92,505,505,
93,506,506,
94,549,549,
95,541,541,
96,516,516,
97,530,530,
98,537,537,
99,568,568,
100,526,526,
101,518,518,
102,504,504,
103,516,516,
104,487,487,
105,505,505,
106,535,535,
107,494,494,
108,516,516,
109,511,511,
110,505,505,
111,437,437,
112,501,501,
113,505,505,
114,542,542,
115,455,455,
116,480,480,
117,462,462,
118,455,455,
119,435,435,
120,461,461,
121,455,455,
122,483,483,
123,439,439,
124,433,433,
125,426,426,
126,400,400,
127,447,447,
128,447,447,
129,415,415,
130,445,445,
131,457,457,
132,422,422,
133,394,394,
134,388,388,
135,431,431,
136,423,423,
137,396,396,
138,448,448,
139,417,417,
140,422,422,
141,389,389,
142,366,366,
143,368,368,
144,351,351,
145,390,390,
146,369,369,
147,382,382,
148,348,348,
149,391,391,
150,338,338,
151,373,373,
152,360,360,
153,376,376,
154,357,357,
155,341,341,
156,365,365,
157,335,335,
158,306,306,
159,318,318,
160,326,326,
161,312,312,
162,303,303,
163,317,317,
164,332,332,
165,311,311,
166,315,315,
167,297,297,
168,300,300,
169,308,308,
170,286,286,
171,308,308,
172,298,298,
173,297,297,
174,322,322,
175,280,280,
176,290,290,
177,296,296,
178,280,280,
179,291,291,
180,259,259,
181,294,294,
182,240,240,
183,285,285,
184,272,272,
185,284,284,
186,282,282,
187,264,264,
188,239,239,
189,269,269,
190,236,236,
191,240,240,
192,211,211,
193,243,243,
194,229,229,
195,208,208,
196,223,223,
197,201,201,
198,203,203,
199,221,221,
200,208,208,
201,208,208,
202,228,228,
203,213,213,
204,199,199,
205,214,214,
206,198,198,
207,196,196,
208,224,224,
209,195,195,
210,204,204,
211,181,181,
212,200,200,
213,197,197,
214,182,182,
215,205,205,
216,205,205,
217,193,193,
218,217,217,
219,182,182,
220,206,206,
221,155,155,
222,205,205,
223,174,174,
224,172,172,
225,194,194,
226,175,175,
227,170,170,
228,174,174,
229,167,167,
230,162,162,
231,175,175,
232,163,163,
233,153,153,
234,158,158,
235,159,159,
236,159,159,
237,181,181,
238,169,169,
239,171,171,
240,142,142,
241,153,153,
242,138,138,
243,142,142,
244,159,159,
245,140,140,
246,142,142,
247,137,137,
248,155,155,
249,138,138,
250,149,149,
251,131,131,
252,162,162,
253,153,153,
254,134,134,
255,141,141,
256,134,134,
257,152,152,
258,120,120,
259,123,123,
260,132,132,
261,143,143,
262,115,115,
263,134,134,
264,125,125,
265,144,144,
266,134,134,
267,134,134,
268,114,114,
269,118,118,
270,125,125,
271,118,118,
272,111,111,
273,103,103,
274,114,114,
275,141,141,
276,123,123,
277,142,142,
278,172,172,
279,223,223,
280,188,188,
281,135,135,
282,132,132,
283,131,131,
284,119,119,
285,130,130,
286,114,114,
287,83,83,
288,91,91,
289,106,106,
290,98,98,
291,100,100,
292,89,89,
293,90,90,
294,95,95,
295,99,99,
296,86,86,
297,91,91,
298,86,86,
299,92,92,
300,88,88,
301,87,87,
302,80,80,
303,85,85,
304,91,91,
305,89,89,
306,98,98,
307,90,90,
308,78,78,
309,83,83,
310,90,90,
311,92,92,
312,72,72,
313,97,97,
314,85,85,
315,90,90,
